Cowboys,"Allegiant Stadium, Las Vegas",2026-03-01,
Sea Eagles,"4 Pines Park, Sydney",2026-03-15,
Warriors,"McDonald Jones Stadium, Newcastle",2026-03-21,
Bulldogs,"Accor Stadium, Sydney",2026-03-28,
Raiders,"McDonald Jones Stadium, Newcastle",2026-04-05,
Wests Tigers,"Campbelltown Sports Stadium, Sydney",2026-04-12,
Roosters,"Allianz Stadium, Sydney",2026-04-19,
Panthers,"McDonald Jones Stadium, Newcastle",2026-04-26,
Rabbitohs,"McDonald Jones Stadium, Newcastle",2026-05-03,
Dragons,"WIN Stadium, Wollongong",2026-05-09,
Titans,"Suncorp Stadium, Brisbane",2026-05-17 14:00,"2375,2170,2212,2726,2051"
BYE,,2026-05-23,"2298,2343,1958,2743,2051"
Eels,"McDonald Jones Stadium, Newcastle",2026-05-30 15:00,"2036,2742,1331,2868,2052"
Storm,"AAMI Park, Melbourne",2026-06-05 18:00,"2233,2302,2076,2728,2052"
BYE,,2026-06-11,"2447,2308,2048,2638,2051"
Dragons,"McDonald Jones Stadium, Newcastle",2026-06-19 20:00,"2333,2076,2343,2680,2047"
Wests Tigers,"McDonald Jones Stadium, Newcastle",2026-06-28 16:05,"2048,2502,1676,2917,2053"
Dolphins,"McDonald Jones Stadium, Newcastle",2026-07-05 16:05,"2087,2768,1312,2743,2052"
Rabbitohs,"Accor Stadium, Sydney",2026-07-12 14:00,"2163,2305,2004,2825,2045"
Sharks,"Ocean Protect Stadium, Sydney",2026-07-17 18:00,"2107,2541,1641,2868,2052"
Roosters,"McDonald Jones Stadium, Newcastle",2026-07-24 18:00,"2336,2358,2005,2521,2052"
Broncos,"Suncorp Stadium, Brisbane",2026-08-01 19:35,"2398,2226,2189,2645,2052"
Raiders,"GIO Stadium, Canberra",2026-08-09 14:00,"2284,2522,1836,2520,2052"
Titans,"McDonald Jones Stadium, Newcastle",2026-08-16 14:00,"2142,2583,1588,2744,2051"
Sea Eagles,"McDonald Jones Stadium, Newcastle",2026-08-22 15:00,"1996,2778,1242,2917,2053"
Warriors,"Go Media Stadium, Auckland",2026-08-30 14:00,"2160,2539,1740,2520,2052"
BYE,,2026-09-06,"2112,2821,1318,2520,2052"
